Date,Quarter,Department,Targeted Productivity,Overtime,No. of Workers,Actual Productivity
1/1/2015,Q1,Sewing,0.8,7080,59,0.940725424
1/1/2015,Q1,Finishing,0.75,960,8,0.8865
1/1/2015,Q1,Sewing,0.8,3660,30.5,0.800570492
1/1/2015,Q1,Sewing,0.8,3660,30.5,0.800570492
1/1/2015,Q1,Sewing,0.8,1920,56,
1/1/2015,Q1,Sewing,0.8,6720,56,0.800125
1/1/2015,Q1,Finishing,0.75,960,8,0.755166667
1/1/2015,Q1,Sewing,0.75,6900,57.5,0.753683478
1/1/2015,Q1,Sewing,0.75,6000,55,0.753097531
1/1/2015,Q1,Sewing,0.75,6900,57.5,0.750427826
1/1/2015,Q1,Sewing,0.7,6900,57.5,0.721126957
1/1/2015,Q1,Sewing,0.75,6480,54,0.712205247
1/1/2015,Q1,Sewing,0.8,3660,30.5,0.707045902
1/1/2015,Q1,Finishing,0.65,960,8,0.705916667
1/1/2015,Q1,Finishing,0.75,960,8,0.676666667
1/1/2015,Q1,Finishing,0.75,2160,18,0.593055556
1/1/2015,Q1,Finishing,0.8,960,8,0.540729167
1/1/2015,Q1,Sewing,0.65,7200,60,0.52118
1/1/2015,Q1,Finishing,0.7,1440,12,
3/1/2015,Q1,Finishing,0.8,6600,20,0.988024691
3/1/2015,Q1,Finishing,0.75,5640,17,0.987880435
3/1/2015,Q1,Finishing,0.8,960,8,0.956270833
3/1/2015,Q1,Finishing,0.75,1560,8,0.945277778
3/1/2015,Q1,Finishing,0.8,960,8,0.902916667
3/1/2015,Q1,Sewing,0.8,6300,56.5,0.800725314
3/1/2015,Q1,Sewing,0.8,6540,54.5,0.800322936
3/1/2015,Q1,Sewing,0.8,7080,59,0.800318644
3/1/2015,Q1,Sewing,0.8,7080,59,0.800318644
3/1/2015,Q1,Sewing,0.8,7080,29.5,0.800237288
3/1/2015,Q1,Sewing,0.8,7080,31.5,0.800148649
3/1/2015,Q1,Sewing,0.8,6720,56,0.800125
3/1/2015,Q1,Sewing,0.8,6720,56,0.800125
3/1/2015,Q1,Sewing,0.75,6480,54,0.787299691
3/1/2015,Q1,Finishing,0.8,960,8,0.782447917
3/1/2015,Q1,Sewing,0.75,6600,55,0.75024303
3/1/2015,Q1,Finishing,0.7,960,8,0.7018125
3/1/2015,Q1,Sewing,0.7,13800,60,0.700134038
3/1/2015,Q1,Sewing,0.7,6900,57.5,0.699965217
3/1/2015,Q1,Finishing,0.8,960,8,0.628333333
3/1/2015,Q1,Finishing,0.8,960,8,0.6253125
4/1/2015,Q1,Finishing,0.75,1560,8,0.991388889
4/1/2015,Q1,Finishing,0.8,960,8,0.931645833
4/1/2015,Q1,Finishing,0.8,960,8,0.915229167
4/1/2015,Q1,Sewing,0.8,6975,31,0.879714482
4/1/2015,Q1,Finishing,0.8,6600,20,0.861679012
4/1/2015,Q1,Sewing,0.8,7080,59,0.850569492
4/1/2015,Q1,Sewing,0.8,7020,56.5,0.850436438
4/1/2015,Q1,Sewing,0.8,6780,56.5,0.850345133
4/1/2015,Q1,Sewing,0.8,4260,55.5,0.800598058
4/1/2015,Q1,Sewing,0.8,7080,59,0.800318644
4/1/2015,Q1,Sewing,0.8,6660,55.5,0.800237838
4/1/2015,Q1,Sewing,0.8,6975,31,0.800030199
4/1/2015,Q1,Finishing,0.8,960,8,0.792104167
4/1/2015,Q1,Finishing,0.7,4320,18,0.759228395
4/1/2015,Q1,Sewing,0.75,6480,54,0.750348457
4/1/2015,Q1,Sewing,0.75,6600,55,0.75024303
4/1/2015,Q1,Sewing,0.7,6900,57.5,0.699965217
